card_name,qty,is_bulk,tcg_set_name,tcg_h,tcg_m,tcg_l,tcg_date
carnivorous moss-beast,,TRUE,,,,,
carnivorous plant,,TRUE,,,,,
carpet of flowers,1,,,,,,
carrier thrall,2,,Battle for Zendikar,$1.21 ,$0.21 ,$0.04 ,7/7/2017 10:26
carrion ants,,TRUE,,,,,
carrion crow,,TRUE,,,,,
cartel aristocrat,2,,,,,,
cartographer,1,,,,,,
carven caryatid,1,,,,,,
cast into darkness,,TRUE,,,,,
castigate,1,,,,,,
castle,1,,,,,,
cat warriors,,TRUE,,,,,
cataclysm (f),1,,,,,,
catacomb sifter,2,,Battle for Zendikar,$1.35 ,$0.21 ,$0.01 ,7/7/2017 10:26
catacomb slug,,TRUE,,,,,
catalog,8,,,,,,
catch,1,,,,,,
cathar's companion,5,,,,,,
cathar's shield,1,,,,,,
cathodion,1,,,,,,
caustic caterpillar,5,,,,,,
caustic tar,,TRUE,,,,,
cavalry pegasus,4,,,,,,
cavern lampad,1,,,,,,
cease-fire,,TRUE,,,,,
celestial archon,2,,,,,,
celestial flare,5,,,,,,
cellar door,2,,,,,,
cemetery puca,1,,,,,,
cenn's tactician,3,,,,,,
centaur's herald,2,,,,,,
centaur battlemaster,4,,,,,,
centaur courser,,TRUE,,,,,
centaur healer,3,,,,,,
centaur safeguard,,TRUE,,,,,
center soul,4,,,,,,
cephalid pathmage,1,,,,,,
ceremonious rejection,0,,,,,,
chain of vapor,1,,,,,,
chainflinger,,TRUE,,,,,
chalice of life,1,,,,,,
champion of arashin,,TRUE,,,,,
champion of stray souls,1,,,,,,
champion of the parish,2,,,,,,
chandra's fury,5,,,,,,
chandra's outrage,4,,,,,,
chandra's phoenix,3,,,,,,
channel harm,1,,,,,,
chant of the skifsang,,TRUE,,,,,
chapel geist,,TRUE,,,,,
chaplain's blessing,,TRUE,,,,,
charging badger,,TRUE,,,,,
charging griffin,,TRUE,,,,,
charging paladin,1,,,,,,
charging rhino,,TRUE,,,,,
charging slateback,,TRUE,,,,,
chariot of victory,1,,,,,,
chasm guide,2,,Battle for Zendikar,$1.17 ,$0.19 ,$0.01 ,7/7/2017 10:26
chastise,1,,,,,,
chemister's trick,,TRUE,,,,,
chief of the edge,1,,,,,,
chief of the scale,4,,,,,,
chieftain en-dal,,TRUE,,,,,
child of night,4,,,,,,
chimney imp,1,,,,,,
choked estuary,1,,,,,,
chord of calling,1,,,,,,
chorus of might,4,,,,,,
chorus of the conclave,1,,,,,,
chorus of the tides,,TRUE,,,,,
chosen by heliod,4,,,,,,
chosen of markov,,TRUE,,,,,
chromanticore,2,,,,,,
chromatic lantern,1,,,,,,
chromeshell crab,1,,,,,,
chronic flooding,4,,,,,,
chronicler of heroes,3,,,,,,
chronostutter,,TRUE,,,,,
churning eddy,1,,,,,,
churning eddy,,TRUE,,,,,
cinder barrens,1,,,,,,
cinder glade,2,,Battle for Zendikar,$7.99 ,$2.70 ,$1.00 ,7/7/2017 10:26
cinder hellion,,TRUE,,,,,
circle of elders,2,,,,,,
circle of flame,1,,,,,,
circle of protection: artifacts,2,,,,,,
circle of protection: black,4,,,,,,
circle of protection: blue,3,,,,,,
circle of protection: green,3,,,,,,
circle of protection: red,2,,,,,,
circle of protection: white,3,,,,,,
"circu, dimir lobotomist",1,,,,,,
citadel castellan,2,,,,,,
claim of erebos,,TRUE,,,,,
clan defiance,1,,,,,,
claustrophobia,6,,,,,,
claws of wirewood,,TRUE,,,,,
clay statue,,TRUE,,,,,
cleansing meditation,1,,,,,,
clear a path,,TRUE,,,,,
cleaver riot,1,,,,,,
cleric of the forward order,,TRUE,,,,,
cliffside lookout,4,,Battle for Zendikar,$1.14 ,$0.14 ,$0.01 ,7/7/2017 10:26
clifftop retreat,1,,,,,,
clinging anemones,2,,,,,,
clinging mists,4,,,,,,
clip wings,4,,,,,,
cloaked siren,,TRUE,,,,,
clock of omens,1,,,,,,
clockwork beast,0,,,,,,
clockwork beast,,TRUE,,,,,
clockwork steed,,TRUE,,,,,
clone,0,,,,,,
cloud elemental,,TRUE,,,,,
cloud key,0,,,,,,
cloud manta,,,Battle for Zendikar,$1.14 ,$0.14 ,$0.01 ,7/7/2017 10:26
cloudfin raptor,4,,,,,,
cloudskate,,TRUE,,,,,
clutch of currents,3,,Battle for Zendikar,$1.13 ,$0.14 ,$0.04 ,7/7/2017 10:26
clutch of the undercity,1,,,,,,
coal stoker,1,,,,,,
coast watcher,,TRUE,,,,,
coastal discovery,2,,Battle for Zendikar,$1.19 ,$0.20 ,$0.01 ,7/7/2017 10:26
coastal drake,,TRUE,,,,,
coastal hornclaw,,TRUE,,,,,
coastal piracy,1,,,,,,
coastline chimera,,TRUE,,,,,
coat with venom,,TRUE,,,,,
coax from the blind eternities,2,,,,,,
cobblebrute,,TRUE,,,,,
coercion,3,,,,,,
coercive portal,1,,,,,,
coffin purge,,TRUE,,,,,
